한식,중식,일식,양식,아시안,패스트푸드,가격대(만원),Label,위치,거리(m),게이트거리(m),총거리(m),매장명,위도,경도
1,0,0,0,0,0,1.2,1,,123,121,244,가족회관,,
1,0,0,0,0,0,1,1,,364,91,455,계절밥상 소반,,
0,1,0,0,0,0,0.9,4,,141,223,364,교동짬뽕,,
1,0,0,0,0,0,1.3,1,,11,14,25,놀부부대찌개,,
1,0,0,0,0,0,1.4,1,,252,6,258,덕인관,,
1,0,0,0,0,0,1.1,1,,92,56,148,마리짱,,
1,0,0,0,0,0,1.5,1,,155,52,207,만석장,,
1,0,0,0,0,0,1.2,1,,29,211,240,면채반,,
1,0,0,0,0,0,1.7,1,,307,14,321,명가의뜰,,
1,0,0,0,0,0,1.8,1,,152,23,175,무쇠화반,,
1,0,0,0,0,0,1.2,1,,337,35,372,반주,,
1,0,0,0,0,0,1,1,탑승동 3층 118번 게이트 부근,82,293,375,밥이답이다,37.455678,126.444302
1,0,0,0,0,0,0.8,1,제2여객터미널 4층 면세지역 252번 탑승구 부근,213,13,226,보통식탁,,
1,0,0,0,0,0,0.7,1,,185,294,479,본죽,,
1,0,0,0,0,0,1,1,,334,227,561,북창동순두부,,
1,0,0,0,0,0,1,1,,75,19,94,비비고,37.449146,126.450099
1,0,0,0,0,0,1.2,1,,221,37,258,서울,,
1,0,0,0,0,0,1.3,1,,193,222,415,소담비빔국수,,
1,0,1,0,0,0,1.2,1,,222,259,481,소문,,
1,0,1,0,0,0,1.1,1,탑승동 3층 115번 게이트 부근,123,276,399,손수김밥,37.456303,126.445381
1,0,0,0,0,0,1.1,1,제2여객터미널 4층 면세지역 249번 탑승구 부근,208,264,472,손수반상,,
1,0,0,0,0,0,1.2,1,제2여객터미널 4층 면세지역 252번 탑승구 부근,79,73,152,손수헌,,
1,0,0,0,0,0,1.6,1,,357,81,438,순희네빈대떡,,
1,0,0,0,0,0,1.2,1,,175,225,400,영동설렁탕,,
1,0,0,0,0,0,1.2,1,,267,216,483,오뎅식당,,
1,0,0,0,0,0,1.1,1,제1여객터미널 4층 면세지역 12번 게이트 부근,41,13,54,인천별미,,
1,0,0,0,0,0,1,1,,199,63,262,자연은맛있다,,
1,0,0,0,0,0,0.8,1,,151,1,152,제일제면소,,
1,0,0,0,0,0,0.8,1,제2여객터미널 3층 면세지역 232번 게이트 부근,230,243,473,평화국수,,
1,0,0,0,0,0,1.3,1,,383,157,540,평화옥,,
1,0,0,0,0,0,1.5,1,,171,166,337,한국집,,
1,0,0,0,0,0,1.4,1,,61,192,253,한옥,,
1,0,0,0,0,0,1.5,1,,116,176,292,한옥집,,
1,0,0,0,0,0,2.3,1,,188,297,485,한우가,,
0,0,0,1,0,0,1.5,0,,252,278,530,경양식당,,
0,0,0,1,0,0,1.2,0,탑승동 3층 115번 게이트 부근,367,105,472,남산왕돈까스,,
